Route_ID,Origin,Destination,Vehicle_Type,Weather_Condition,Traffic_Density
RT-00001,Adana,Ankara,Diesel Truck,Normal,Medium
RT-00002,Adana,Ankara,Diesel Truck,Rain,Medium
RT-00003,Adana,Ankara,Diesel Truck,Snow,High
RT-00004,Adana,Ankara,Electric Semi,Rain,High
RT-00005,Adana,Ankara,Electric Semi,Snow,Low
RT-00006,Adana,Antalya,Diesel Truck,Rain,Medium
RT-00007,Adana,Antalya,Electric Semi,Normal,High
RT-00008,Adana,Antalya,Electric Semi,Normal,Low
RT-00009,Adana,Bursa,Diesel Truck,Normal,Medium
RT-00010,Adana,Bursa,Diesel Truck,Storm,Low
RT-00011,Adana,Bursa,Electric Semi,Normal,High
RT-00012,Adana,Bursa,Electric Semi,Normal,Medium
RT-00013,Adana,Denizli,Diesel Truck,Normal,High
RT-00014,Adana,Denizli,Diesel Truck,Normal,Medium
RT-00015,Adana,Denizli,Diesel Truck,Rain,Medium
RT-00016,Adana,Denizli,Hybrid Van,Rain,High
RT-00017,Adana,Erzurum,Diesel Truck,Rain,High
RT-00018,Adana,Erzurum,Diesel Truck,Rain,Medium
RT-00019,Adana,Erzurum,Hybrid Van,Normal,Low
RT-00020,Adana,Erzurum,Hybrid Van,Rain,High
RT-00021,Adana,Eskisehir,Diesel Truck,Storm,High
RT-00022,Adana,Gaziantep,Diesel Truck,Normal,High
RT-00023,Adana,Gaziantep,Diesel Truck,Normal,Low
RT-00024,Adana,Gaziantep,Diesel Truck,Normal,Medium
RT-00025,Adana,Gaziantep,Diesel Truck,Rain,High
RT-00026,Adana,Gaziantep,Diesel Truck,Rain,Medium
RT-00027,Adana,Gaziantep,Electric Semi,Normal,High
RT-00028,Adana,Gaziantep,Electric Semi,Normal,Low
RT-00029,Adana,Gaziantep,Electric Semi,Storm,High
RT-00030,Adana,Gaziantep,Hybrid Van,Normal,High
RT-00031,Adana,Istanbul,Diesel Truck,Normal,Low
RT-00032,Adana,Istanbul,Diesel Truck,Snow,Low
RT-00033,Adana,Istanbul,Electric Semi,Normal,Low
RT-00034,Adana,Istanbul,Electric Semi,Snow,Medium
RT-00035,Adana,Izmir,Diesel Truck,Normal,Medium
RT-00036,Adana,Izmir,Diesel Truck,Rain,Low
RT-00037,Adana,Izmir,Diesel Truck,Snow,Low
RT-00038,Adana,Izmir,Diesel Truck,Storm,High
RT-00039,Adana,Izmir,Electric Semi,Storm,Low
RT-00040,Adana,Izmir,Hybrid Van,Normal,Medium
RT-00041,Adana,Izmir,Hybrid Van,Snow,High
RT-00042,Adana,Kayseri,Diesel Truck,Rain,Medium
RT-00043,Adana,Kayseri,Diesel Truck,Snow,High
RT-00044,Adana,Kayseri,Diesel Truck,Storm,Low
RT-00045,Adana,Kayseri,Electric Semi,Normal,High
RT-00046,Adana,Kayseri,Electric Semi,Normal,Low
RT-00047,Adana,Kayseri,Hybrid Van,Normal,Low
RT-00048,Adana,Kayseri,Hybrid Van,Normal,Medium
RT-00049,Adana,Kocaeli,Diesel Truck,Normal,High
RT-00050,Adana,Kocaeli,Diesel Truck,Snow,Medium
RT-00051,Adana,Kocaeli,Hybrid Van,Rain,Medium
RT-00052,Adana,Konya,Diesel Truck,Normal,High
RT-00053,Adana,Konya,Diesel Truck,Snow,High
RT-00054,Adana,Konya,Electric Semi,Snow,Medium
RT-00055,Adana,Malatya,Diesel Truck,Snow,Low
RT-00056,Adana,Mersin,Diesel Truck,Normal,Low
RT-00057,Adana,Mersin,Diesel Truck,Normal,Medium
RT-00058,Adana,Mersin,Diesel Truck,Rain,High
RT-00059,Adana,Mersin,Diesel Truck,Rain,Low
RT-00060,Adana,Sakarya,Diesel Truck,Normal,High
RT-00061,Adana,Sakarya,Hybrid Van,Rain,High
RT-00062,Adana,Samsun,Diesel Truck,Normal,High
RT-00063,Adana,Samsun,Diesel Truck,Normal,Medium
RT-00064,Adana,Samsun,Diesel Truck,Rain,High
RT-00065,Adana,Samsun,Electric Semi,Normal,Medium
RT-00066,Adana,Samsun,Hybrid Van,Rain,Low
RT-00067,Adana,Trabzon,Hybrid Van,Normal,Low
RT-00068,Adana,Van,Diesel Truck,Normal,Low
RT-00069,Adana,Van,Diesel Truck,Normal,Medium
RT-00070,Adana,Van,Diesel Truck,Rain,Low
RT-00071,Adana,Van,Hybrid Van,Normal,Medium
RT-00072,Ankara,Adana,Hybrid Van,Normal,High
RT-00073,Ankara,Adana,Hybrid Van,Rain,Medium
RT-00074,Ankara,Antalya,Diesel Truck,Normal,Low
RT-00075,Ankara,Antalya,Diesel Truck,Normal,Medium
RT-00076,Ankara,Antalya,Hybrid Van,Normal,Low
RT-00077,Ankara,Bursa,Diesel Truck,Normal,Medium
RT-00078,Ankara,Bursa,Electric Semi,Storm,Medium
RT-00079,Ankara,Denizli,Diesel Truck,Rain,Medium
RT-00080,Ankara,Denizli,Electric Semi,Normal,Medium
RT-00081,Ankara,Denizli,Hybrid Van,Normal,Medium
RT-00082,Ankara,Diyarbakir,Diesel Truck,Normal,High
RT-00083,Ankara,Diyarbakir,Diesel Truck,Normal,Low
RT-00084,Ankara,Diyarbakir,Diesel Truck,Normal,Medium
RT-00085,Ankara,Diyarbakir,Diesel Truck,Rain,Medium
RT-00086,Ankara,Diyarbakir,Diesel Truck,Snow,High
RT-00087,Ankara,Diyarbakir,Electric Semi,Normal,Low
RT-00088,Ankara,Diyarbakir,Electric Semi,Rain,High
RT-00089,Ankara,Diyarbakir,Hybrid Van,Normal,Low
RT-00090,Ankara,Erzurum,Diesel Truck,Normal,High
RT-00091,Ankara,Erzurum,Diesel Truck,Normal,Low
RT-00092,Ankara,Erzurum,Hybrid Van,Normal,Low
RT-00093,Ankara,Erzurum,Hybrid Van,Rain,High
RT-00094,Ankara,Eskisehir,Diesel Truck,Normal,Medium
RT-00095,Ankara,Gaziantep,Diesel Truck,Normal,High
RT-00096,Ankara,Gaziantep,Diesel Truck,Normal,Medium
RT-00097,Ankara,Gaziantep,Diesel Truck,Rain,High
RT-00098,Ankara,Istanbul,Diesel Truck,Normal,High
RT-00099,Ankara,Istanbul,Diesel Truck,Normal,Medium
RT-00100,Ankara,Istanbul,Diesel Truck,Snow,Low
RT-00101,Ankara,Istanbul,Electric Semi,Storm,Medium
RT-00102,Ankara,Istanbul,Hybrid Van,Normal,Medium
RT-00103,Ankara,Izmir,Diesel Truck,Normal,Medium
RT-00104,Ankara,Izmir,Diesel Truck,Rain,High
RT-00105,Ankara,Izmir,Hybrid Van,Normal,Medium
RT-00106,Ankara,Izmir,Hybrid Van,Storm,High
RT-00107,Ankara,Kayseri,Diesel Truck,Rain,Medium
RT-00108,Ankara,Kayseri,Diesel Truck,Storm,Low
RT-00109,Ankara,Kayseri,Electric Semi,Snow,Low
RT-00110,Ankara,Kayseri,Hybrid Van,Normal,Medium
RT-00111,Ankara,Kayseri,Hybrid Van,Rain,Low
RT-00112,Ankara,Kocaeli,Diesel Truck,Normal,Medium
RT-00113,Ankara,Kocaeli,Diesel Truck,Rain,Low
RT-00114,Ankara,Kocaeli,Hybrid Van,Storm,Low
RT-00115,Ankara,Konya,Diesel Truck,Snow,Medium
RT-00116,Ankara,Konya,Diesel Truck,Storm,Medium
RT-00117,Ankara,Konya,Electric Semi,Storm,Medium
RT-00118,Ankara,Konya,Hybrid Van,Normal,Low
RT-00119,Ankara,Konya,Hybrid Van,Normal,Medium
RT-00120,Ankara,Malatya,Diesel Truck,Normal,High
RT-00121,Ankara,Malatya,Diesel Truck,Rain,Low
RT-00122,Ankara,Malatya,Electric Semi,Normal,Low
RT-00123,Ankara,Malatya,Electric Semi,Normal,Medium
RT-00124,Ankara,Malatya,Hybrid Van,Rain,Medium
RT-00125,Ankara,Mersin,Diesel Truck,Rain,Medium
RT-00126,Ankara,Mersin,Diesel Truck,Storm,Medium
RT-00127,Ankara,Sakarya,Diesel Truck,Normal,High
RT-00128,Ankara,Sakarya,Diesel Truck,Normal,Low
RT-00129,Ankara,Sakarya,Electric Semi,Rain,High
RT-00130,Ankara,Samsun,Diesel Truck,Snow,Medium
RT-00131,Ankara,Samsun,Hybrid Van,Normal,Low
RT-00132,Ankara,Trabzon,Diesel Truck,Normal,Low
RT-00133,Ankara,Trabzon,Diesel Truck,Rain,High
RT-00134,Ankara,Trabzon,Diesel Truck,Rain,Medium
RT-00135,Ankara,Trabzon,Diesel Truck,Snow,High
RT-00136,Ankara,Trabzon,Electric Semi,Normal,High
RT-00137,Ankara,Trabzon,Electric Semi,Normal,Low
RT-00138,Ankara,Van,Diesel Truck,Normal,Medium
RT-00139,Ankara,Van,Diesel Truck,Rain,Medium
RT-00140,Ankara,Van,Electric Semi,Normal,Medium
RT-00141,Antalya,Adana,Diesel Truck,Normal,Medium
RT-00142,Antalya,Adana,Diesel Truck,Rain,Low
RT-00143,Antalya,Adana,Electric Semi,Normal,Low
RT-00144,Antalya,Adana,Electric Semi,Storm,High
RT-00145,Antalya,Adana,Hybrid Van,Rain,Medium
RT-00146,Antalya,Adana,Hybrid Van,Snow,High
RT-00147,Antalya,Ankara,Electric Semi,Normal,Medium
RT-00148,Antalya,Ankara,Electric Semi,Snow,High
RT-00149,Antalya,Ankara,Hybrid Van,Normal,High
RT-00150,Antalya,Ankara,Hybrid Van,Normal,Medium
RT-00151,Antalya,Ankara,Hybrid Van,Snow,Low
RT-00152,Antalya,Bursa,Diesel Truck,Normal,High
RT-00153,Antalya,Bursa,Diesel Truck,Normal,Medium
RT-00154,Antalya,Bursa,Hybrid Van,Normal,Medium
