Shipment_ID,Date_ID,Vendor_ID,Route_ID,Weight_tons,Distance_km,Actual_Delay_Days,CO2_Emission_kg
SHP-00001,20250801,VEND-019,RT-00294,15.0,801.1,0,1028.03
SHP-00002,20250801,VEND-005,RT-00685,24.79,796.2,0,675.33
SHP-00003,20250801,VEND-010,RT-00076,6.79,945.1,1,501.99
SHP-00004,20250801,VEND-012,RT-00537,7.29,527.6,0,136.21
SHP-00005,20250802,VEND-013,RT-01262,3.22,364.5,0,45.0
SHP-00006,20250802,VEND-002,RT-00637,14.3,67.9,0,140.12
SHP-00007,20250802,VEND-014,RT-01020,15.72,287.6,0,368.09
SHP-00008,20250802,VEND-004,RT-00648,18.42,409.2,1,625.26
SHP-00009,20250803,VEND-019,RT-01316,9.05,254.9,0,219.25
SHP-00010,20250803,VEND-018,RT-00503,1.29,73.2,0,12.24
SHP-00011,20250803,VEND-024,RT-01303,16.17,231.1,0,141.18
SHP-00012,20250803,VEND-019,RT-00442,24.97,816.0,0,2701.85
SHP-00013,20250803,VEND-010,RT-00946,8.07,774.0,0,509.45
SHP-00014,20250803,VEND-025,RT-01086,5.41,1126.0,0,817.49
SHP-00015,20250804,VEND-011,RT-00155,7.76,967.9,1,1058.2
SHP-00016,20250804,VEND-009,RT-00768,11.21,702.9,0,1039.91
SHP-00017,20250804,VEND-023,RT-00179,7.02,208.2,0,57.31
SHP-00018,20250804,VEND-010,RT-00807,9.33,698.7,2,229.46
SHP-00019,20250805,VEND-002,RT-00998,16.32,120.8,0,276.17
SHP-00020,20250806,VEND-012,RT-01077,9.28,545.5,0,741.67
SHP-00021,20250806,VEND-020,RT-00121,10.51,498.8,0,717.56
SHP-00022,20250806,VEND-005,RT-00943,1.96,542.0,0,153.07
SHP-00023,20250806,VEND-012,RT-01141,23.03,371.8,0,1132.07
SHP-00024,20250806,VEND-004,RT-01223,10.77,838.7,0,337.23
SHP-00025,20250807,VEND-018,RT-00832,8.88,1017.1,2,1328.37
SHP-00026,20250808,VEND-012,RT-01053,3.08,933.8,0,417.9
SHP-00027,20250808,VEND-009,RT-00603,16.22,771.9,2,1827.33
SHP-00028,20250809,VEND-006,RT-00826,21.73,669.1,0,1961.94
SHP-00029,20250809,VEND-015,RT-01273,1.99,85.7,0,18.82
SHP-00030,20250809,VEND-017,RT-00981,4.49,881.4,0,520.64
SHP-00031,20250809,VEND-024,RT-01237,4.51,676.7,0,392.44
SHP-00032,20250809,VEND-011,RT-01332,15.45,361.4,0,207.46
SHP-00033,20250809,VEND-005,RT-00411,23.11,427.0,1,1340.2
SHP-00034,20250810,VEND-021,RT-00110,11.51,1125.9,0,1032.69
SHP-00035,20250810,VEND-016,RT-00040,9.25,768.0,1,582.86
SHP-00036,20250810,VEND-018,RT-00007,19.38,597.3,1,432.45
SHP-00037,20250811,VEND-003,RT-00632,18.82,764.1,0,1205.67
SHP-00038,20250811,VEND-008,RT-00265,6.92,525.8,1,485.38
SHP-00039,20250811,VEND-020,RT-01132,4.86,590.7,0,381.15
SHP-00040,20250812,VEND-021,RT-00058,9.59,383.9,0,555.43
SHP-00041,20250812,VEND-011,RT-00690,19.61,555.8,1,1497.01
SHP-00042,20250812,VEND-021,RT-00593,17.68,838.4,0,1928.24
SHP-00043,20250812,VEND-022,RT-00574,16.98,95.9,0,228.21
SHP-00044,20250812,VEND-010,RT-00269,20.91,964.3,0,3004.18
SHP-00045,20250812,VEND-023,RT-00701,7.65,375.4,0,430.52
SHP-00046,20250813,VEND-008,RT-01097,9.15,834.9,0,283.2
SHP-00047,20250813,VEND-006,RT-00388,2.02,789.1,0,211.46
SHP-00048,20250813,VEND-018,RT-00778,21.85,800.5,0,2313.03
SHP-00049,20250813,VEND-016,RT-01231,14.98,749.3,1,1463.58
SHP-00050,20250814,VEND-004,RT-00481,8.15,1153.0,0,324.21
SHP-00051,20250814,VEND-021,RT-00396,2.67,634.6,0,247.6
SHP-00052,20250814,VEND-005,RT-00626,18.36,892.2,1,709.57
SHP-00053,20250815,VEND-021,RT-01345,18.97,861.3,0,2246.44
SHP-00054,20250815,VEND-001,RT-00139,16.99,321.7,3,725.15
SHP-00055,20250816,VEND-020,RT-00661,5.89,375.8,0,174.51
SHP-00056,20250816,VEND-020,RT-01034,22.92,537.6,0,1577.02
SHP-00057,20250816,VEND-020,RT-00545,19.08,369.4,0,956.28
SHP-00058,20250816,VEND-017,RT-00094,16.79,471.8,0,1038.82
SHP-00059,20250817,VEND-012,RT-00557,16.62,499.6,0,1079.4
SHP-00060,20250817,VEND-018,RT-00604,22.7,744.4,0,2321.62
SHP-00061,20250818,VEND-007,RT-00031,23.28,302.9,0,935.82
SHP-00062,20250818,VEND-020,RT-01339,15.3,974.9,1,2038.25
SHP-00063,20250818,VEND-014,RT-00910,11.0,553.2,2,494.87
SHP-00064,20250819,VEND-012,RT-00141,9.73,862.2,0,1086.36
SHP-00065,20250819,VEND-013,RT-00717,20.66,143.7,0,394.61
SHP-00066,20250819,VEND-015,RT-00282,16.47,590.5,0,742.64
SHP-00067,20250819,VEND-001,RT-00691,2.85,82.5,0,40.2
SHP-00068,20250819,VEND-004,RT-00888,4.41,827.3,0,299.28
SHP-00069,20250820,VEND-007,RT-01073,22.6,445.3,0,1405.99
SHP-00070,20250820,VEND-003,RT-00783,22.23,1141.6,0,893.67
SHP-00071,20250821,VEND-011,RT-00360,23.84,422.7,0,879.71
SHP-00072,20250821,VEND-017,RT-00825,11.27,698.4,0,1091.79
SHP-00073,20250821,VEND-017,RT-00242,19.82,346.0,0,640.59
SHP-00074,20250821,VEND-012,RT-00039,20.88,763.1,0,600.74
SHP-00075,20250822,VEND-022,RT-00904,8.58,587.1,3,457.6
SHP-00076,20250822,VEND-015,RT-00419,4.49,476.2,0,297.55
SHP-00077,20250823,VEND-002,RT-00920,24.93,284.2,1,960.43
SHP-00078,20250823,VEND-020,RT-00740,1.73,178.2,2,52.22
SHP-00079,20250823,VEND-015,RT-00515,15.34,187.9,0,230.76
SHP-00080,20250823,VEND-016,RT-01074,16.61,1198.9,0,2555.11
SHP-00081,20250823,VEND-015,RT-00112,17.36,524.2,0,1225.47
SHP-00082,20250823,VEND-014,RT-00330,7.14,52.2,0,40.56
SHP-00083,20250823,VEND-003,RT-00164,18.32,1145.9,0,2910.41
SHP-00084,20250823,VEND-014,RT-00964,6.19,73.0,0,18.54
SHP-00085,20250824,VEND-020,RT-00406,20.9,531.4,0,1533.68
SHP-00086,20250824,VEND-008,RT-00046,6.26,875.1,0,194.5
SHP-00087,20250824,VEND-016,RT-00878,17.72,1101.8,0,2575.19
SHP-00088,20250825,VEND-001,RT-00881,19.8,869.8,0,2314.03
SHP-00089,20250825,VEND-009,RT-00300,5.53,583.2,0,436.15
SHP-00090,20250825,VEND-011,RT-00091,6.71,1170.6,0,1061.73
SHP-00091,20250825,VEND-025,RT-00938,19.7,95.2,0,285.27
SHP-00092,20250826,VEND-006,RT-00265,3.06,1184.9,0,504.92
SHP-00093,20250826,VEND-007,RT-00296,5.58,1026.8,0,228.5
SHP-00094,20250826,VEND-011,RT-00091,11.93,1118.3,0,1787.9
SHP-00095,20250826,VEND-025,RT-01162,23.32,343.0,0,1245.17
SHP-00096,20250826,VEND-022,RT-00531,14.49,213.8,0,442.77
SHP-00097,20250827,VEND-001,RT-00424,10.3,812.8,0,1137.16
SHP-00098,20250827,VEND-006,RT-00622,24.48,643.2,0,537.48
SHP-00099,20250827,VEND-021,RT-00634,12.13,651.6,3,1130.14
SHP-00100,20250827,VEND-002,RT-00539,11.41,1113.3,0,1081.98
SHP-00101,20250828,VEND-022,RT-00646,10.88,763.1,0,326.23
SHP-00102,20250828,VEND-008,RT-00102,8.49,407.7,0,286.01
SHP-00103,20250828,VEND-023,RT-01319,8.82,510.1,0,181.12
SHP-00104,20250829,VEND-008,RT-00956,17.51,203.5,0,469.65
SHP-00105,20250829,VEND-011,RT-00529,1.98,271.2,0,49.12
SHP-00106,20250830,VEND-017,RT-00353,17.36,214.9,0,301.23
SHP-00107,20250830,VEND-004,RT-00137,5.83,981.8,0,196.73
SHP-00108,20250831,VEND-014,RT-00096,10.22,860.6,0,1152.25
SHP-00109,20250831,VEND-013,RT-00907,4.52,659.9,0,415.83
SHP-00110,20250831,VEND-020,RT-00630,14.27,480.5,0,245.41
SHP-00111,20250831,VEND-025,RT-00971,18.5,818.8,0,2056.93
SHP-00112,20250901,VEND-017,RT-00140,9.51,984.8,0,336.09
SHP-00113,20250901,VEND-011,RT-01159,4.92,1063.4,0,744.72
