Shipment_ID,Date_ID,Vendor_ID,Route_ID,Weight_tons,Distance_km,Actual_Delay_Days,CO2_Emission_kg,Delay_Risk_Probability,Risk_Level
SHP-00001,20250801,VEND-019,RT-a9c48ea86d,15.0,220.1,0,473.12,0.06,Low Risk
SHP-00002,20250801,VEND-005,RT-cea72266a8,24.79,1599.7,1,4852.43,0.3,Medium Risk
SHP-00003,20250801,VEND-010,RT-146bc4a595,6.79,495.2,2,464.9,0.06,Low Risk
SHP-00004,20250801,VEND-012,RT-9fac67dc68,7.29,604.9,0,350.95,0.03,Low Risk
SHP-00005,20250802,VEND-013,RT-71ecc7a1a3,3.22,588.2,0,260.15,0.1,Low Risk
SHP-00006,20250802,VEND-002,RT-1ff0786b76,14.3,427.3,0,793.81,0.37,Medium Risk
SHP-00007,20250802,VEND-014,RT-bbc8bef68a,15.72,386.3,0,224.74,0.09,Low Risk
SHP-00008,20250802,VEND-004,RT-262f64c123,18.42,1283.3,0,3097.41,0.08,Low Risk
SHP-00009,20250803,VEND-019,RT-340297eb0d,9.05,1351.9,0,1780.11,0.51,High Risk
SHP-00010,20250803,VEND-018,RT-f0b15e80be,1.29,381.6,0,73.13,0.21,Medium Risk
SHP-00011,20250803,VEND-024,RT-29f293760a,16.17,1502.3,1,3505.42,0.18,Low Risk
SHP-00012,20250803,VEND-019,RT-94dd13939f,24.97,303.2,0,1043.7,0.1,Low Risk
SHP-00013,20250803,VEND-010,RT-2dfd6ceb8f,8.07,637.4,0,179.77,0.06,Low Risk
SHP-00014,20250803,VEND-025,RT-0f034d0fe3,5.41,299.4,0,141.81,0.02,Low Risk
SHP-00015,20250804,VEND-011,RT-fbdd79be76,7.76,1092.7,0,1260.05,0.27,Medium Risk
SHP-00016,20250804,VEND-009,RT-f7e0824f94,11.21,715.6,0,1082.26,0.19,Low Risk
SHP-00017,20250804,VEND-023,RT-946062dcbc,7.02,579.3,0,565.3,0.16,Low Risk
SHP-00018,20250804,VEND-010,RT-ee51a4898a,9.33,618.5,0,217.57,0.1,Low Risk
SHP-00019,20250805,VEND-002,RT-ec4e731994,16.32,915.4,0,2001.07,0.09,Low Risk
SHP-00020,20250806,VEND-012,RT-a0a97fd829,9.28,794.9,0,317.85,0.08,Low Risk
SHP-00021,20250806,VEND-020,RT-ba75a214a0,10.51,620.2,0,913.24,0.24,Medium Risk
SHP-00022,20250806,VEND-005,RT-172e6cb153,1.96,624.7,0,101.68,0.18,Low Risk
SHP-00023,20250806,VEND-012,RT-9476b9a586,23.03,701.3,0,551.28,0.2,Medium Risk
SHP-00024,20250806,VEND-004,RT-f0c228dcb5,10.77,363.7,3,549.7,0.09,Low Risk
SHP-00025,20250807,VEND-018,RT-c389a963e3,8.88,127.3,0,102.84,0.45,Medium Risk
SHP-00026,20250808,VEND-012,RT-e0f1c6eaf3,3.08,878.3,0,246.17,0.06,Low Risk
SHP-00027,20250808,VEND-009,RT-09f53b9ad7,16.22,207.8,2,294.68,0.35,Medium Risk
SHP-00028,20250809,VEND-006,RT-b52cd53150,21.73,546.4,0,1671.3,0.05,Low Risk
SHP-00029,20250809,VEND-015,RT-1056cd6e6e,1.99,524.7,0,143.26,0.22,Medium Risk
SHP-00030,20250809,VEND-017,RT-dc7ef1515f,4.49,209.8,0,78.49,0.09,Low Risk
SHP-00031,20250809,VEND-024,RT-714093c94b,4.51,1132.6,0,410.97,0.11,Low Risk
SHP-00032,20250809,VEND-011,RT-91864aa768,15.45,1437.9,0,3105.1,0.27,Medium Risk
SHP-00033,20250809,VEND-005,RT-748c8deea2,23.11,1111.3,0,3349.17,0.27,Medium Risk
SHP-00034,20250810,VEND-021,RT-1481d34cd2,11.51,342.6,0,531.11,0.05,Low Risk
SHP-00035,20250810,VEND-016,RT-b21569e990,9.25,931.9,3,1146.94,0.13,Low Risk
SHP-00036,20250810,VEND-018,RT-312363737a,19.38,511.0,0,1425.39,0.6,High Risk
SHP-00037,20250811,VEND-003,RT-3931b0cc4d,18.82,608.4,0,394.77,0.22,Medium Risk
SHP-00038,20250811,VEND-008,RT-6cc9f25e9e,6.92,1018.2,0,945.39,0.02,Low Risk
SHP-00039,20250811,VEND-020,RT-4c35606a37,4.86,459.4,0,82.82,0.08,Low Risk
SHP-00040,20250812,VEND-021,RT-7ddc6d8af5,9.59,78.4,2,123.45,0.08,Low Risk
SHP-00041,20250812,VEND-011,RT-d9e3a073c9,19.61,647.0,0,1730.53,0.04,Low Risk
SHP-00042,20250812,VEND-021,RT-e3314857ba,17.68,316.0,0,737.55,0.05,Low Risk
SHP-00043,20250812,VEND-022,RT-52a671aee5,16.98,551.1,0,788.01,0.09,Low Risk
SHP-00044,20250812,VEND-010,RT-b089f4322e,20.91,789.9,0,634.04,0.24,Medium Risk
SHP-00045,20250812,VEND-023,RT-3084ee88f9,7.65,226.1,0,158.87,0.11,Low Risk
SHP-00046,20250813,VEND-008,RT-a9eb3b164d,9.15,163.4,0,130.06,0.09,Low Risk
SHP-00047,20250813,VEND-006,RT-9dd1ac128e,2.02,1452.5,0,248.22,0.15,Low Risk
SHP-00048,20250813,VEND-018,RT-1a9c864357,21.85,562.9,0,1515.87,0.29,Medium Risk
SHP-00049,20250813,VEND-016,RT-a2397dce75,14.98,748.3,0,406.71,0.1,Low Risk
SHP-00050,20250814,VEND-004,RT-6b0dcd7e51,8.15,878.9,0,582.91,0.03,Low Risk
SHP-00051,20250814,VEND-021,RT-21bcdcf849,2.67,851.7,0,193.21,0.06,Low Risk
SHP-00052,20250814,VEND-005,RT-2414da2a30,18.36,446.9,3,1240.73,0.92,High Risk
SHP-00053,20250815,VEND-021,RT-a7dd81234c,18.97,863.6,0,574.58,0.11,Low Risk
SHP-00054,20250815,VEND-001,RT-518c8280fe,16.99,1119.5,0,2721.54,0.08,Low Risk
SHP-00055,20250816,VEND-020,RT-08011578e9,5.89,401.3,0,308.12,0.06,Low Risk
SHP-00056,20250816,VEND-020,RT-12f620d1d2,22.92,632.4,0,482.02,0.06,Low Risk
SHP-00057,20250816,VEND-020,RT-951082b168,19.08,634.1,0,453.31,0.05,Low Risk
SHP-00058,20250816,VEND-017,RT-ebb1194f2e,16.79,247.2,1,577.31,0.04,Low Risk
SHP-00059,20250817,VEND-012,RT-f48f2e173d,16.62,625.2,0,1354.08,0.07,Low Risk
SHP-00060,20250817,VEND-018,RT-5ef5a4a48a,22.7,207.3,0,161.64,0.25,Medium Risk
SHP-00061,20250818,VEND-007,RT-d632929be4,23.28,857.8,0,2595.18,0.04,Low Risk
SHP-00062,20250818,VEND-020,RT-c7f074fd5d,15.3,569.2,0,1228.99,0.06,Low Risk
SHP-00063,20250818,VEND-014,RT-12d5ec3851,11.0,370.1,0,531.67,0.1,Low Risk
SHP-00064,20250819,VEND-012,RT-c827b70c35,9.73,522.8,0,407.33,0.08,Low Risk
SHP-00065,20250819,VEND-013,RT-81f5d62073,20.66,393.0,0,1085.23,0.06,Low Risk
SHP-00066,20250819,VEND-015,RT-eccf008620,16.47,1126.6,0,2418.23,0.18,Low Risk
SHP-00067,20250819,VEND-001,RT-4c9c770335,2.85,620.2,0,64.92,0.16,Low Risk
SHP-00068,20250819,VEND-004,RT-2ad3e6cc27,4.41,1045.8,0,619.27,0.02,Low Risk
SHP-00069,20250820,VEND-007,RT-e26df9b760,22.6,705.9,0,635.97,0.18,Low Risk
SHP-00070,20250820,VEND-003,RT-f4d4f6c665,22.23,324.1,0,585.23,0.05,Low Risk
SHP-00071,20250821,VEND-011,RT-647268deea,23.84,1042.4,0,3424.78,0.09,Low Risk
SHP-00072,20250821,VEND-017,RT-2ebb68dce5,11.27,547.8,0,817.2,0.08,Low Risk
SHP-00073,20250821,VEND-017,RT-ff1182c506,19.82,977.2,0,2862.61,0.12,Low Risk
SHP-00074,20250821,VEND-012,RT-65e3d4df84,20.88,931.6,0,2633.36,0.16,Low Risk
SHP-00075,20250822,VEND-022,RT-3b68a02176,8.58,236.7,0,289.99,0.44,Medium Risk
SHP-00076,20250822,VEND-015,RT-6c3e0a50be,4.49,427.5,0,247.09,0.32,Medium Risk
SHP-00077,20250823,VEND-002,RT-5ac412a3f3,24.93,535.4,2,513.23,0.32,Medium Risk
SHP-00078,20250823,VEND-020,RT-c29a9978c8,1.73,457.1,0,116.04,0.13,Low Risk
SHP-00079,20250823,VEND-015,RT-471216bdfc,15.34,1042.0,0,1995.26,0.1,Low Risk
SHP-00080,20250823,VEND-016,RT-c1cc233a88,16.61,752.9,0,1637.3,0.09,Low Risk
SHP-00081,20250823,VEND-015,RT-906a485537,17.36,327.7,0,203.16,0.14,Low Risk
SHP-00082,20250823,VEND-014,RT-26bd1c459e,7.14,353.9,4,237.05,0.38,Medium Risk
SHP-00083,20250823,VEND-003,RT-bafade67a8,18.32,1278.0,0,3293.88,0.16,Low Risk
SHP-00084,20250823,VEND-014,RT-225e22ca0e,6.19,977.8,0,829.57,0.28,Medium Risk
SHP-00085,20250824,VEND-020,RT-104ad7828c,20.9,632.0,0,491.14,0.05,Low Risk
SHP-00086,20250824,VEND-008,RT-8eb681d955,6.26,246.4,0,207.47,0.02,Low Risk
SHP-00087,20250824,VEND-016,RT-7e90261736,17.72,48.2,0,121.94,0.19,Low Risk
SHP-00088,20250825,VEND-001,RT-9457fb5367,19.8,688.0,0,1825.45,0.02,Low Risk
SHP-00089,20250825,VEND-009,RT-30b0e87356,5.53,1218.8,0,536.59,0.22,Medium Risk
SHP-00090,20250825,VEND-011,RT-e5b3697359,6.71,938.8,0,873.39,0.14,Low Risk
SHP-00091,20250825,VEND-025,RT-a6794fcaae,19.7,267.6,2,725.52,0.1,Low Risk
SHP-00092,20250826,VEND-006,RT-6cc9f25e9e,3.06,1077.1,0,471.42,0.04,Low Risk
SHP-00093,20250826,VEND-007,RT-43fd62de5a,5.58,346.7,0,183.31,0.09,Low Risk
SHP-00094,20250826,VEND-011,RT-e5b3697359,11.93,934.7,0,1491.11,0.11,Low Risk
SHP-00095,20250826,VEND-025,RT-75f5fb28b6,23.32,761.4,0,678.46,0.11,Low Risk
SHP-00096,20250826,VEND-022,RT-ac9a0dad0a,14.49,832.7,0,459.62,0.11,Low Risk
SHP-00097,20250827,VEND-001,RT-08e88cc23b,10.3,775.1,0,289.34,0.08,Low Risk
SHP-00098,20250827,VEND-006,RT-fef130b398,24.48,689.0,0,2154.08,0.05,Low Risk
SHP-00099,20250827,VEND-021,RT-03d2447dee,12.13,114.6,1,125.25,0.08,Low Risk
SHP-00100,20250827,VEND-002,RT-156e227580,11.41,636.0,0,615.45,0.23,Medium Risk
