Shipment_ID,Shipment_Date,Vendor_ID,Vendor_Rating,Origin,Destination,Distance_km,Weight_tons,Weather_Condition,Traffic_Density,Vehicle_Type,Actual_Delay_Days,CO2_Emission_kg
SHP-00001,2025-08-01,VEND-019,4.5,Denizli,Antalya,220.1,15.0,Normal,Medium,Diesel Truck,0,473.12
SHP-00002,2025-08-01,VEND-005,2.1,Istanbul,Van,1599.7,24.79,Normal,Low,Diesel Truck,1,4852.43
SHP-00003,2025-08-01,VEND-010,3.2,Ankara,Antalya,495.2,6.79,Normal,Low,Diesel Truck,2,464.9
SHP-00004,2025-08-01,VEND-012,4.6,Eskisehir,Mersin,604.9,7.29,Normal,Low,Hybrid Van,0,350.95
SHP-00005,2025-08-02,VEND-013,3.7,Trabzon,Gaziantep,588.2,3.22,Normal,Medium,Diesel Truck,0,260.15
SHP-00006,2025-08-02,VEND-002,3.0,Istanbul,Denizli,427.3,14.3,Normal,Low,Diesel Truck,0,793.81
SHP-00007,2025-08-02,VEND-014,4.4,Malatya,Trabzon,386.3,15.72,Normal,Medium,Electric Semi,0,224.74
SHP-00008,2025-08-02,VEND-004,3.7,Istanbul,Erzurum,1283.3,18.42,Normal,Medium,Diesel Truck,0,3097.41
SHP-00009,2025-08-03,VEND-019,4.7,Van,Eskisehir,1351.9,9.05,Storm,Medium,Diesel Truck,0,1780.11
SHP-00010,2025-08-03,VEND-018,2.0,Eskisehir,Antalya,381.6,1.29,Normal,Low,Diesel Truck,0,73.13
SHP-00011,2025-08-03,VEND-024,4.8,Van,Bursa,1502.3,16.17,Normal,High,Diesel Truck,1,3505.42
SHP-00012,2025-08-03,VEND-019,4.3,Erzurum,Diyarbakir,303.2,24.97,Normal,Medium,Diesel Truck,0,1043.7
SHP-00013,2025-08-03,VEND-010,3.2,Konya,Samsun,637.4,8.07,Normal,Low,Electric Semi,0,179.77
SHP-00014,2025-08-03,VEND-025,4.3,Sakarya,Ankara,299.4,5.41,Normal,Medium,Hybrid Van,0,141.81
SHP-00015,2025-08-04,VEND-011,2.9,Antalya,Diyarbakir,1092.7,7.76,Normal,High,Diesel Truck,0,1260.05
SHP-00016,2025-08-04,VEND-009,2.1,Kayseri,Denizli,715.6,11.21,Normal,Low,Diesel Truck,0,1082.26
SHP-00017,2025-08-04,VEND-023,5.0,Antalya,Istanbul,579.3,7.02,Normal,Medium,Diesel Truck,0,565.3
SHP-00018,2025-08-04,VEND-010,3.2,Kayseri,Sakarya,618.5,9.33,Normal,Medium,Electric Semi,0,217.57
SHP-00019,2025-08-05,VEND-002,3.1,Malatya,Kocaeli,915.4,16.32,Normal,Low,Diesel Truck,0,2001.07
SHP-00020,2025-08-06,VEND-012,4.8,Mersin,Trabzon,794.9,9.28,Rain,High,Electric Semi,0,317.85
SHP-00021,2025-08-06,VEND-020,3.4,Ankara,Malatya,620.2,10.51,Rain,Low,Diesel Truck,0,913.24
SHP-00022,2025-08-06,VEND-005,1.8,Konya,Samsun,624.7,1.96,Normal,Low,Hybrid Van,0,101.68
SHP-00023,2025-08-06,VEND-012,4.6,Sakarya,Mersin,701.3,23.03,Normal,Low,Electric Semi,0,551.28
SHP-00024,2025-08-06,VEND-004,3.7,Samsun,Trabzon,363.7,10.77,Rain,Medium,Diesel Truck,3,549.7
SHP-00025,2025-08-07,VEND-018,2.0,Kocaeli,Bursa,127.3,8.88,Normal,High,Hybrid Van,0,102.84
SHP-00026,2025-08-08,VEND-012,5.0,Mersin,Izmir,878.3,3.08,Normal,High,Hybrid Van,0,246.17
SHP-00027,2025-08-08,VEND-009,2.1,Gaziantep,Malatya,207.8,16.22,Normal,High,Hybrid Van,2,294.68
SHP-00028,2025-08-09,VEND-006,4.9,Kocaeli,Antalya,546.4,21.73,Normal,Medium,Diesel Truck,0,1671.3
SHP-00029,2025-08-09,VEND-015,3.3,Trabzon,Kayseri,524.7,1.99,Normal,Medium,Diesel Truck,0,143.26
SHP-00030,2025-08-09,VEND-017,3.4,Malatya,Gaziantep,209.8,4.49,Normal,Medium,Hybrid Van,0,78.49
SHP-00031,2025-08-09,VEND-024,4.6,Trabzon,Antalya,1132.6,4.51,Normal,Low,Hybrid Van,0,410.97
SHP-00032,2025-08-09,VEND-011,2.6,Van,Kocaeli,1437.9,15.45,Normal,High,Diesel Truck,0,3105.1
SHP-00033,2025-08-09,VEND-005,1.9,Diyarbakir,Sakarya,1111.3,23.11,Normal,Medium,Diesel Truck,0,3349.17
SHP-00034,2025-08-10,VEND-021,4.2,Ankara,Kayseri,342.6,11.51,Normal,Medium,Diesel Truck,0,531.11
SHP-00035,2025-08-10,VEND-016,2.1,Adana,Izmir,931.9,9.25,Normal,Medium,Diesel Truck,3,1146.94
SHP-00036,2025-08-10,VEND-018,1.7,Adana,Antalya,511.0,19.38,Normal,High,Diesel Truck,0,1425.39
SHP-00037,2025-08-11,VEND-003,4.5,Istanbul,Antalya,608.4,18.82,Normal,Low,Electric Semi,0,394.77
SHP-00038,2025-08-11,VEND-008,4.6,Bursa,Malatya,1018.2,6.92,Normal,Medium,Diesel Truck,0,945.39
SHP-00039,2025-08-11,VEND-020,3.8,Sakarya,Konya,459.4,4.86,Normal,Medium,Electric Semi,0,82.82
SHP-00040,2025-08-12,VEND-021,4.2,Adana,Mersin,78.4,9.59,Rain,High,Diesel Truck,2,123.45
SHP-00041,2025-08-12,VEND-011,2.8,Izmir,Ankara,647.0,19.61,Normal,Low,Diesel Truck,0,1730.53
SHP-00042,2025-08-12,VEND-021,4.2,Gaziantep,Kayseri,316.0,17.68,Normal,Low,Diesel Truck,0,737.55
SHP-00043,2025-08-12,VEND-022,2.7,Gaziantep,Erzurum,551.1,16.98,Normal,Medium,Hybrid Van,0,788.01
SHP-00044,2025-08-12,VEND-010,2.9,Bursa,Mersin,789.9,20.91,Normal,High,Electric Semi,0,634.04
SHP-00045,2025-08-12,VEND-023,4.9,Izmir,Denizli,226.1,7.65,Normal,High,Hybrid Van,0,158.87
SHP-00046,2025-08-13,VEND-008,4.2,Sakarya,Bursa,163.4,9.15,Normal,Medium,Hybrid Van,0,130.06
SHP-00047,2025-08-13,VEND-006,4.7,Diyarbakir,Izmir,1452.5,2.02,Normal,Low,Hybrid Van,0,248.22
SHP-00048,2025-08-13,VEND-018,1.8,Kayseri,Eskisehir,562.9,21.85,Normal,Low,Diesel Truck,0,1515.87
SHP-00049,2025-08-13,VEND-016,2.4,Trabzon,Ankara,748.3,14.98,Normal,Medium,Electric Semi,0,406.71
SHP-00050,2025-08-14,VEND-004,3.6,Erzurum,Mersin,878.9,8.15,Normal,Low,Hybrid Van,0,582.91
SHP-00051,2025-08-14,VEND-021,4.2,Diyarbakir,Konya,851.7,2.67,Normal,Medium,Hybrid Van,0,193.21
SHP-00052,2025-08-14,VEND-005,1.9,Istanbul,Ankara,446.9,18.36,Storm,High,Diesel Truck,3,1240.73
SHP-00053,2025-08-15,VEND-021,4.4,Van,Samsun,863.6,18.97,Normal,Medium,Electric Semi,0,574.58
SHP-00054,2025-08-15,VEND-001,4.4,Ankara,Van,1119.5,16.99,Rain,Medium,Diesel Truck,0,2721.54
SHP-00055,2025-08-16,VEND-020,3.7,Istanbul,Izmir,401.3,5.89,Normal,Low,Diesel Truck,0,308.12
SHP-00056,2025-08-16,VEND-020,3.6,Mersin,Diyarbakir,632.4,22.92,Normal,Low,Electric Semi,0,482.02
SHP-00057,2025-08-16,VEND-020,3.5,Eskisehir,Samsun,634.1,19.08,Normal,Medium,Electric Semi,0,453.31
SHP-00058,2025-08-16,VEND-017,3.5,Ankara,Eskisehir,247.2,16.79,Normal,Medium,Diesel Truck,1,577.31
SHP-00059,2025-08-17,VEND-012,4.8,Gaziantep,Ankara,625.2,16.62,Normal,Low,Diesel Truck,0,1354.08
SHP-00060,2025-08-17,VEND-018,1.9,Gaziantep,Malatya,207.3,22.7,Normal,Low,Electric Semi,0,161.64
SHP-00061,2025-08-18,VEND-007,4.4,Adana,Istanbul,857.8,23.28,Normal,Low,Diesel Truck,0,2595.18
SHP-00062,2025-08-18,VEND-020,3.7,Van,Malatya,569.2,15.3,Normal,Medium,Diesel Truck,0,1228.99
SHP-00063,2025-08-18,VEND-014,4.2,Konya,Denizli,370.1,11.0,Normal,Medium,Diesel Truck,0,531.67
SHP-00064,2025-08-19,VEND-012,4.7,Antalya,Adana,522.8,9.73,Normal,Medium,Hybrid Van,0,407.33
SHP-00065,2025-08-19,VEND-013,3.8,Izmir,Istanbul,393.0,20.66,Normal,Medium,Diesel Truck,0,1085.23
SHP-00066,2025-08-19,VEND-015,3.1,Bursa,Trabzon,1126.6,16.47,Normal,Low,Diesel Truck,0,2418.23
SHP-00067,2025-08-19,VEND-001,4.1,Izmir,Ankara,620.2,2.85,Normal,Medium,Electric Semi,0,64.92
SHP-00068,2025-08-19,VEND-004,3.9,Kocaeli,Trabzon,1045.8,4.41,Normal,Low,Diesel Truck,0,619.27
SHP-00069,2025-08-20,VEND-007,4.1,Mersin,Sakarya,705.9,22.6,Normal,High,Electric Semi,0,635.97
SHP-00070,2025-08-20,VEND-003,4.4,Kayseri,Gaziantep,324.1,22.23,Normal,Low,Hybrid Van,0,585.23
SHP-00071,2025-08-21,VEND-011,2.8,Diyarbakir,Antalya,1042.4,23.84,Normal,Medium,Diesel Truck,0,3424.78
SHP-00072,2025-08-21,VEND-017,3.3,Kocaeli,Antalya,547.8,11.27,Normal,Low,Diesel Truck,0,817.2
SHP-00073,2025-08-21,VEND-017,3.4,Bursa,Gaziantep,977.2,19.82,Rain,High,Diesel Truck,0,2862.61
SHP-00074,2025-08-21,VEND-012,4.7,Adana,Izmir,931.6,20.88,Storm,Low,Diesel Truck,0,2633.36
SHP-00075,2025-08-22,VEND-022,2.5,Konya,Antalya,236.7,8.58,Normal,High,Diesel Truck,0,289.99
SHP-00076,2025-08-22,VEND-015,3.0,Diyarbakir,Trabzon,427.5,4.49,Normal,Low,Diesel Truck,0,247.09
SHP-00077,2025-08-23,VEND-002,3.2,Konya,Gaziantep,535.4,24.93,Normal,High,Electric Semi,2,513.23
SHP-00078,2025-08-23,VEND-020,3.5,Izmir,Sakarya,457.1,1.73,Normal,Medium,Diesel Truck,0,116.04
SHP-00079,2025-08-23,VEND-015,2.8,Eskisehir,Diyarbakir,1042.0,15.34,Normal,Low,Diesel Truck,0,1995.26
SHP-00080,2025-08-23,VEND-016,2.0,Mersin,Sakarya,752.9,16.61,Normal,Low,Diesel Truck,0,1637.3
SHP-00081,2025-08-23,VEND-015,3.1,Ankara,Kocaeli,327.7,17.36,Normal,Medium,Electric Semi,0,203.16
SHP-00082,2025-08-23,VEND-014,4.4,Denizli,Konya,353.9,7.14,Storm,High,Hybrid Van,4,237.05
SHP-00083,2025-08-23,VEND-003,4.5,Antalya,Erzurum,1278.0,18.32,Normal,High,Diesel Truck,0,3293.88
SHP-00084,2025-08-23,VEND-014,4.6,Malatya,Bursa,977.8,6.19,Storm,Low,Diesel Truck,0,829.57
